ID,Name,Longitude,Latitude,Rating
63368,Giorgio's Pizza,-87.698288,41.954023,3.43
63469,Dib Sushi Bar & Thai Cuisine,-87.656155,41.969067,3.74
63470,Umaiya Cafe,-87.669385,41.961585,3.15
63559,Hecky's Barbecue,-87.688964,42.052352,3.46
63667,Mee Mah,-87.730007,41.990159,3.23
63864,Grand Katachi,-87.679182,41.968061,2.83
63919,LeGee Rice & Noodles,-87.674956,41.961631,3.71
64073,GrillInn,-87.666398,42.007788,3.43
64281,Habibi Restaurant & Cuisine,-87.661736,41.998174,2.82
64282,Byron's Hot Dog,-87.655188,41.954467,3.45
64347,Noon O Kabab,-87.70854,41.966048,4.00
64412,Snow Spice,-87.68884,41.969567,3.80
64526,New Thai Kitchen Restaurant,-87.667699,41.954308,3.36
64834,Sarpino's Pizzeria,-87.708355,42.033644,3.38
65214,Sarpino's Pizzeria,-87.66635,41.961636,3.44
65220,Sarpino's Pizzeria (Harwood),-87.806982,41.97369,3.33
65532,Viceroy of India,-87.693233,41.997681,3.41
65533,Shinobu Japanese Restaurant,-87.659333,41.983658,3.54
66567,The Little India,-87.658756,41.983931,3.32
66892,Bar-B-Que Bob's,-87.682352,42.019338,3.34
66909,Quizno's,-87.871377,41.99482,3.40
66922,Simply Thai,-87.848444,42.138979,4.80
67084,Bertucci's Steak & Seafood,-87.808344,42.199761,4.00
67089,Thai Image,-87.797849,42.187256,3.00
67177,Chinese Connections,-87.656582,41.963744,2.89
67182,Washington Gardens,-87.809288,42.201126,4.33
67608,Summer Noodle & Rice,-87.659497,41.994781,3.49
67620,Via Veneto,-87.718062400818,41.996848808682,3.71
67646,Rosded Too,-87.800116539001,42.054231924537,2.63
67824,Bridie McKenna,-87.809253,42.201078,4.00
67834,Zoba Noodle Bar,-87.682165,42.04609,3.67
67844,Las Palmas,-87.797327,42.186353,3.33
67853,Massimo's Sub Shop & Bakery,-87.859763,41.99123,4.00
67867,Hot Woks Cool Sushi,-87.727458,41.952364,3.83
67874,Sushi Kushi Too,-87.797744,42.186206,4.20
67875,Sushi Thai,-87.9586,42.303869,4.40
67887,Olive Branch Express,-87.802662,42.02433,3.75
67890,Sanook Sushi & Thai,-87.699803,41.954031,3.49
67892,Everyday Thai,-87.668563,41.998213,3.23
67905,King of Thai Noodles &  Rice,-87.659013,41.973527,4.05
67930,Yummy Bowl,-87.7978423,42.1871207,3.60
67931,City Park Grill,-87.798034,42.185029,3.83
67932,Badaya Sushi,-87.79959,42.184786,4.33
67945,Shan Restaurant,-87.6549979,41.9750116,3.11
67952,Little Mexican Cafe,-87.8014982,42.1890352,3.75
67964,Trattoria Trullo,-87.688109,41.968442,3.61
67971,CW Napkin,-87.654707,41.9545029,3.12
68038,L. Woods Tap and Pine Lodge,-87.7379249,42.0105964,3.73
68048,Michael Salerno's Pizzeria,-87.823601,42.088706,2.83
68062,The Indian Garden,-87.694174,41.997757,3.36
68104,Villa May Pizzeria,-87.667808,41.968735,2.98
68114,Rhapsody Cafe,-87.803958,42.181702,4.33
68115,Los Portales Mexican Restaurant,-87.6667741,42.0077775,3.34
68117,Afghan Kabob,-87.729231,41.9608178,4.07
68139,Pompei,-88.0488132,42.0393922,3.30
68146,Barba Yianni,-87.6883068,41.9682152,3.57
68524,Demera Ethiopian Restaurant,-87.659296,41.969184,3.43
68575,Dawali Mediterranean Kitchen,-87.708199,41.970607,3.97
68585,Pita Kabab,-87.6991684,41.9851843,4.07
68602,Sagar,-87.6932335,41.9976814,3.13
68631,Rosati's Pizza,-87.7491174,42.0052242,2.82
68657,Curry Hut,-87.82865,42.2470466,4.00
68934,Sarpino's Pizzeria,-88.0797798,42.0442549,2.92
69008,Poochie's,-87.724982,42.0408128,3.50
69019,Spuntino Pizza,-87.8311726,41.9856044,3.35
69529,Chikis Pizza,-87.67161,42.002273,2.91
69610,Erick's Tacos,-87.678738,41.968446,3.22
69626,Apart Pizza Company ,-87.6601568,41.9843138,3.68
69844,Fulton's Chicken,-87.674469,42.0121563,2.86
69852,Portillo's Hot Dogs ,-87.7467848,42.0625412,3.60
71782,Maggiano's ,-87.7511873,42.0617661,3.33
71837,Mysore Woodlands,-87.6943,41.997757,3.89
72569,California Pizza Kitchen,-87.7511873,42.0617661,3.43
73770,The Pumping Company,-87.660073,41.993906,3.31
74684,La Casa de Isaac,-87.808159,42.202268,4.00
74694,Go Roma,-87.9273244,42.1848001,3.67
74695,Go Roma,-88.0520701,42.1617527,3.86
74699,I Monelli Trattoria Pizzeria,-87.6887083053589,41.9729701552941,3.16
74722,Me Dee Cafe,-87.678902,41.969032,3.72
74727,Zebda,-87.7281329,41.9598577,3.89
74979,Cafe Central,-87.786895,42.163555,4.00
74999,Noodles Party,-87.733183,41.967845,3.48
77346,Donny's Pizzeria,-87.9749903,42.0514472,3.31
77459,Wild Fish,-87.8451988,42.1659418,4.20
77460,Barry's Shrimp Shack and BBQ,-87.6601442,41.9870162,2.33
77756,Subway,-87.654975,41.9749096,3.24
77763,Deluxe Diner,-87.6703741,41.997662,3.18
77816,Nick's Pit Stop #2,-87.720228,41.968447,3.05
77833,New Myle Asian Cuisine,-87.666658,41.954146,3.13
77852,Little Wok Chinese & Sushi,-87.7083544,42.0336286,3.64
77853,Royin,-87.700076,42.064056,3.43
77870,Hello Sushi Bar & Thai Cuisine,-87.669879,41.997767,3.51
78062,Mio Bento,-87.685429,41.953849,3.00
78098,Papa Saverio's Pizza,-87.7903171,42.1378885,3.14
78099,Taste of Thai,-88.1050247,42.0481377,4.00
78122,Machu Picchu,-87.6690666,41.9521914,3.15
78133,Jimmy Burger,-87.6562244,41.9635707,2.65
78158,Trattoria D.O.C.,-87.680867,42.033451,3.55
78203,Forever Thai,-87.677891,41.952566,3.29
78216,Home Pasta,-87.9407614,42.037204,3.21
78236,Crepe Town,-87.6544935,41.9533304,3.53
78561,Bananas Foster,-87.6598089,41.994531,2.90
78565,Nonna Silvia's,-87.822476,41.993774,3.00
78599,Blue Ocean,-87.6670857,41.9668432,3.58
78695,China House,-87.8311324,41.9966751,3.71
78742,Pasta D'Arte,-87.7861892,41.9956949,4.00
78745,Luigi Pizzeria & Eatery,-87.7284568,42.0335979,2.83
79138,Taqueria Los Arcos,-88.0141386,42.1409271,4.50
79149,Maki Sushi & Noodle Shop,-87.8295613,42.0112138,3.29
79167,North Park Village Pizza,-87.713181,41.975952,2.93
79444,Hala In,-87.7439711,41.9680897,3.63
79445,Candlelite Chicago,-87.690556,42.0175,3.33
79479,Quizno's,-87.6791027,41.9669261,3.67
79700,D'Agostino's Pizza,-87.8349711,41.9862249,3.13
79972,ToGo Express,-87.711839,41.982776,3.38
80016,Miramar,-87.808402,42.202056,4.00
80033,Rosati's Pizza,-87.8852432,42.0076468,3.25
80036,Ultimate Chicken Bar,-87.6817695,42.0490654,2.70
80052,Baghdad Kabab,-87.708775,41.968725,3.25
80071,Mecafresh,-87.686445,42.051388,3.00
80144,BopNGrill,-87.69933,42.048633,3.60
80147,Yosi,-87.6995815,41.9953554,3.46
80466,Village Inn Pizzeria,-87.8720765,42.0886434,3.00
80551,AOK Gourmet,-87.7510293,42.0408732,3.00
80617,M&G Char Grill,-87.6751877,41.9541307,3.58
80628,Tokyo Marina,-87.668578,41.974203,3.07
80636,Skores Sports Bar & Grill,-87.796783,41.959328,4.00
80642,Kabob 2 Mediterranean Restaurant,-87.717157,41.9960359,2.67
80671,Phoenix Inn,-87.680316,42.046123,3.00
80711,Iyanze,-87.6584515,41.9669743,1.67
80737,Hubcaps Pizzeria Bar & Grill,-87.871356,41.963663,3.46
80739,Deano's Pizzeria,-87.7064855,42.0191928,2.96
80744,Pizza Bella,-88.0462262,42.1218459,3.40
80761,El Ranchito Gourmet Italian,-87.66669,41.966761,2.31
80770,WaBa,-87.689434,41.974217,2.57
80894,Uru Swati,-87.695736,41.997366,4.29
80985,Panzano's Pizza Pasta & More,-87.9383723,42.0643692,3.86
80989,Always Thai,-87.673731,41.954224,3.14
81035,Pompei Pizza & Pasta,-87.9852599,42.1390943,4.20
81056,Hot Rod Grill,-87.6896459,41.9951784,2.60
81109,Maria's Pizza,-87.6700697,41.9980674,2.64
81133,Rockin' Taco,-87.666734,41.954025,2.72
81134,Vince's Italian Restaurant,-88.028512,42.152854,3.50
81136,Nano Sushi,-87.688968,41.959366,3.00
81181,Sarpino's Pizzeria,-87.8053475,42.0409064,4.00
81182,Bonsai Cafe,-87.7153254,42.0644555,3.43
81239,Usmania Pakistani & Indian Cuisine,-87.6867829,41.9978041,3.00
81240,Usmania Zabiha Chinese Restaurant,-87.6870698,41.9977005,3.29
81248,Paddy O'Splaine's,-87.679331,41.961251,2.80
81250,Subway,-87.6778458,41.9688004,3.17
81273,Balkan Cafe,-87.6872984,41.9686394,2.50
81290,The Piggery,-87.6694381,41.9543672,2.97
81307,Real Time Sports Bar & Grill ,-88.0288573,41.9925268,3.00
81416,Siam Paragon,-87.6778394,42.0339345,3.20
81438,Twins Gyros,-87.8071683,41.9688028,3.50
81442,Asia 2 Go,-87.7482814,41.9986698,4.20
81444,Maxwell Grill,-87.699263,41.996967,4.33
81456,Monastero's,-87.7276777,41.9969551,3.14
81530,Fanta Sea Gyros,-87.6826023,41.9688166,3.00
81537,Punjabi Dhaba,-87.6933577,41.9975856,3.83
81538,Sumo Grill Bi Bim Bowl,-87.6545605,41.9542727,3.40
81560,Donatella Mediterranean Bistro,-87.6819238,42.0451434,3.00
81582,Kansaku,-87.6819237,42.0451539,3.00
